preferred_name,name_name,name_acronym,name_preferred,name_language,type,repository_status,year_established,preferred_org_name,org_name_name,org_name_acronym,org_name_preferred,preferred_org_unit_name,org_unit_name_name,org_unit_name_acronym,org_unit_name_preferred,date_modified,date_created,date_created_month_year
ScholarShip,ScholarShip,,name,en,institutional,fully_functional,,East Carolina University,East Carolina University,,name,,,,,4/17/2018 12:29,7/13/2012 11:33,2012-07
ScholarSpace,ScholarSpace at University of Hawai'i at Manoa,ScholarSpace,acronym,en,institutional,fully_functional,,University of Hawai'i at Manoa,University of Hawai'i at Manoa,,name,University of Hawaii at Manoa Library,University of Hawaii at Manoa Library,,name,3/21/2018 11:41,9/30/2009 9:09,2009-09
ScholarSphere,ScholarSphere,,name,en,institutional,fully_functional,,Pennsylvania State University,Pennsylvania State University,Penn State,name,Information Technology Services,Information Technology Services,,name,3/16/2018 12:02,10/8/2012 14:53,2012-10
ScholarWorks,ScholarWorks,,name,en,institutional,fully_functional,,Montana State University,Montana State University,,name,,,,,3/16/2018 12:02,10/3/2013 17:11,2013-10
ScholarWorks @ Georgia State University,ScholarWorks @ Georgia State University,,name,en,institutional,fully_functional,,Georgia State University,Georgia State University,,name,,,,,3/21/2018 11:41,6/15/2011 10:10,2011-06
ScholarWorks @ UVM,ScholarWorks @ UVM,,name,en,institutional,fully_functional,,University of Vermont,University of Vermont,UVM,name,,,,,3/16/2018 12:03,6/26/2014 16:50,2014-06
ScholarWorks at Central Washington University,ScholarWorks at Central Washington University,,name,en,institutional,fully_functional,,Central Washington University,Central Washington University,,name,James E. Brooks Library,James E. Brooks Library,,name,4/17/2018 12:29,10/24/2014 9:25,2014-10
ScholarWorks at UNO,ScholarWorks at UNO,,name,en,institutional,fully_functional,,University of New Orleans,University of New Orleans,UNO,name,,,,,3/11/2019 15:20,12/9/2005 11:44,2005-12
ScholarWorks at WMU,ScholarWorks at WMU,,name,en,institutional,fully_functional,,Western Michigan University,Western Michigan University,,name,Western Michigan University Libraries,Western Michigan University Libraries,,name,3/21/2018 11:41,1/24/2012 12:12,2012-01
ScholarWorks@UA,ScholarWorks@UA,,name,en,institutional,fully_functional,,University of Alaska,University of Alaska,,name,,,,,3/21/2018 11:41,5/30/2014 10:49,2014-05
ScholarWorks@UARK,ScholarWorks@UARK,,name,en,institutional,fully_functional,,"University of Arkansas, Fayetteville","University of Arkansas, Fayetteville",,name,,,,,4/17/2018 12:29,11/10/2016 15:32,2016-11
ScholarWorks@UMass Amherst,ScholarWorks@UMass Amherst,,name,en,institutional,fully_functional,,University of Massachusetts Amherst,University of Massachusetts Amherst,,name,,,,,3/21/2018 11:41,8/23/2006 14:14,2006-08
Scholarly Commons,Scholarly Commons,,name,en,institutional,fully_functional,,Embry-Riddle Aeronautical University,Embry-Riddle Aeronautical University,,name,,,,,4/17/2018 12:29,2/28/2018 9:04,2018-02
Scholarly Commons,Scholarly Commons,,name,en,institutional,fully_functional,,Susquehanna University,Susquehanna University,,name,,,,,3/16/2018 12:02,9/6/2013 12:41,2013-09
Scholarly Commons @ UNLV Law,Scholarly Commons @ UNLV Law,,name,en,institutional,fully_functional,,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",,name,William S. Boyd School of Law,William S. Boyd School of Law,,name,3/21/2018 11:41,10/21/2010 10:10,2010-10
Scholarly Commons at Miami University,Scholarly Commons at Miami University,,name,en,institutional,fully_functional,,Miami University,Miami University,,name,Miami University Libraries,Miami University Libraries,,name,3/16/2018 12:02,1/31/2008 11:11,2008-01
Scholarly Materials And Research @ Georgia Tech,Scholarly Materials And Research @ Georgia Tech,SMARTech,name,en,institutional,fully_functional,,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Tech,name,Library,Library,,name,3/21/2018 11:41,8/17/2006 13:13,2006-08
ScholarlyCommons@Penn,ScholarlyCommons@Penn,,name,en,institutional,fully_functional,2004,University of Pennsylvania,University of Pennsylvania,Penn,name,University of Pennsylvania Library,University of Pennsylvania Library,,name,3/15/2018 3:43,12/30/2005 10:36,2005-12
Scholars' Mine,Scholars' Mine,,name,en,institutional,fully_functional,,Missouri University of Science and Technology,Missouri University of Science and Technology,MST,name,,,,,8/9/2018 8:32,5/12/2008 15:15,2008-05
ScholarsArchive (Brigham Young University's Institutional Repository),ScholarsArchive (Brigham Young University's Institutional Repository),,name,en,institutional,fully_functional,,Harold B. Lee Library at Brigham Young University,Harold B. Lee Library at Brigham Young University,,name,,,,,3/16/2018 12:02,10/3/2013 17:25,2013-10
ScholarsArchive@OSU,ScholarsArchive@OSU,,name,en,institutional,fully_functional,2004,Oregon State University,Oregon State University,OSU,name,,,,,11/9/2017 3:33,12/14/2005 17:14,2005-12
Scholarship @ Cornell Law,Scholarship @ Cornell Law,,name,en,disciplinary,fully_functional,,Cornell Law Library,Cornell Law Library,,name,,,,,3/21/2018 11:41,1/7/2010 16:16,2010-01
Scholarship Repository of Florida Institute of Technology,Scholarship Repository of Florida Institute of Technology,,name,en,institutional,fully_functional,,Florida Institute of Technology,Florida Institute of Technology,,name,,,,,3/16/2018 12:02,4/1/2014 12:15,2014-04
Scholarship and Open Access Repository,Scholarship and Open Access Repository,SOAR@USA,name,en,institutional,fully_functional,,University of St. Augustine for Health Sciences,University of St. Augustine for Health Sciences,,name,,,,,3/29/2019 9:54,3/29/2019 9:50,2019-03
Scholarship@Claremont,Scholarship@Claremont,,name,en,aggregating,fully_functional,,Claremont University Consortium,Claremont University Consortium,,name,,,,,3/21/2018 11:41,3/2/2011 9:09,2011-03
Scholarworks@GVSU,Scholarworks@GVSU,,name,en,institutional,fully_functional,,Grand Valley State University,Grand Valley State University,,name,,,,,3/21/2018 11:41,9/29/2009 11:11,2009-09
"School of Information, University of Texas at Austin","School of Information, University of Texas at Austin",,name,en,institutional,fully_functional,,University of Texas at Austin,University of Texas at Austin,,name,School of Information,School of Information,,name,3/16/2018 12:02,8/26/2006 9:09,2006-08
Scivee TV,Scivee TV,,name,en,disciplinary,fully_functional,,Scivee TV,Scivee TV,,name,,,,,3/16/2018 12:02,1/28/2008 13:13,2008-01
SelectedWorks @ Oklahoma City University School of Law,SelectedWorks @ Oklahoma City University School of Law,,name,en,institutional,fully_functional,,Oklahoma City University,Oklahoma City University,,name,School of Law,School of Law,,name,3/16/2018 12:02,5/1/2009 10:10,2009-05
Seminole State College of Florida Digital Collections,Seminole State College of Florida Digital Collections,,name,en,institutional,fully_functional,,Seminole State College of Florida,Seminole State College of Florida,,name,,,,,4/17/2018 12:29,12/17/2013 10:58,2013-12
Shocker Open Access Repository,Shocker Open Access Repository,SOAR,name,en,institutional,fully_functional,,Wichita State University,Wichita State University,,name,,,,,3/16/2018 12:02,12/19/2007 15:15,2007-12
Smithsonian Digital Repository,Smithsonian Digital Repository,,name,en,institutional,fully_functional,,Smithsonian Institution,Smithsonian Institution,,name,,,,,3/21/2018 11:41,1/22/2008 10:10,2008-01
Social Science Research Network,Social Science Research Network,SSRN,name,en,disciplinary,fully_functional,,Social Science Electronic Publishing,Social Science Electronic Publishing,,name,,,,,3/16/2018 12:02,1/25/2008 14:14,2008-01
South Carolina State Documents Depository,South Carolina State Documents Depository,,name,en,institutional,fully_functional,,South Carolina State Library,South Carolina State Library,,name,,,,,4/17/2018 12:29,10/25/2013 16:59,2013-10
St Mary's University School of Law Digital Repository,St Mary's University School of Law Digital Repository,,name,en,institutional,fully_functional,,"St. Mary's University, School of Law","St. Mary's University, School of Law",,name,,,,,4/17/2018 12:29,2/12/2013 16:30,2013-02
Stark Center E-Archive,Stark Center E-Archive,,name,en,disciplinary,technically_malfunctioning,,H.J. Lutcher Stark Center for Physical Culture and Sports,H.J. Lutcher Stark Center for Physical Culture and Sports,,name,Stark Center E-Archive,Stark Center E-Archive,,name,3/21/2018 11:41,6/25/2013 12:09,2013-06
State Library of Massachusetts,State Library of Massachusetts,,name,en,governmental,fully_functional,,Commonwealth of Massachusetts,Commonwealth of Massachusetts,,name,State Library of Massachusetts,State Library of Massachusetts,,name,3/16/2018 12:02,2/6/2009 11:11,2009-02
State Library of Oregon Digital Collections,State Library of Oregon Digital Collections,,name,en,governmental,fully_functional,,State Library of Oregon,State Library of Oregon,,name,,,,,3/20/2019 14:32,3/20/2019 14:28,2019-03
Student Scholar Archive,Student Scholar Archive,,name,en,institutional,fully_functional,,Oregon Health &amp; Science University,Oregon Health &amp; Science University,,name,,,,,3/16/2018 12:02,3/24/2009 14:14,2009-03
Sycamore Scholars,Sycamore Scholars,,name,en,institutional,fully_functional,,Indiana State University,Indiana State University,ISU,name,Cunningham Memorial Library,Cunningham Memorial Library,,name,3/21/2018 11:41,10/15/2009 9:09,2009-10
Syracuse University Research Facility and Collaborative Environment,Syracuse University Research Facility and Collaborative Environment,SURFACE,name,en,institutional,fully_functional,2010,Syracuse University,Syracuse University,,name,Syracuse University Llibrary,Syracuse University Llibrary,,name,3/21/2018 11:41,12/8/2010 13:13,2010-12
TDL Repository,Texas Digital Library Repository,TDL Repository,acronym,en,aggregating,fully_functional,,Texas Digital Library,Texas Digital Library,TDL,name,,,,,3/16/2018 12:02,8/17/2006 14:14,2006-08
TREASURES @ UTD,TREASURES @ UTD,,name,en,institutional,fully_functional,,University of Texas at Dallas,University of Texas at Dallas,UTD,name,McDermott Library,McDermott Library,,name,3/16/2018 12:02,3/9/2009 10:10,2009-03
Temple University Electronic Dissertations,Temple University Electronic Dissertations,,name,en,institutional,fully_functional,2008,Temple University,Temple University,,name,Temple Unviersity Libraries,Temple Unviersity Libraries,,name,3/15/2018 5:00,12/9/2008 9:09,2008-12
Temple University Libraries: Digital Colletions,Temple University Libraries: Digital Colletions,,name,en,institutional,fully_functional,,Temple University,Temple University,,name,,,,,4/17/2018 12:29,10/30/2013 14:52,2013-10
Tennessee Historical and Regional Collections,Tennessee Historical and Regional Collections,,name,en,institutional,fully_functional,,University of Tennessee,University of Tennessee,,name,,,,,4/17/2018 12:29,4/16/2015 10:55,2015-04
Texas Data Repository,Texas Data Repository,,name,en,institutional,fully_functional,,Texas Digital Libraries,Texas Digital Libraries,,name,,,,,1/31/2019 11:34,1/31/2019 11:30,2019-01
Texas ScholarWorks,Texas ScholarWorks,,name,en,institutional,fully_functional,,University of Texas at Austin,University of Texas at Austin,,name,University of Texas Libraries,University of Texas Libraries,,name,3/21/2018 11:41,9/30/2008 16:16,2008-09
"The Avalon Project Documents in Law, History and Diplomacy","The Avalon Project Documents in Law, History and Diplomacy",,name,en,institutional,fully_functional,,Yale Law School,Yale Law School,,name,Lillian Goldman Law Library,Lillian Goldman Law Library,,name,4/17/2018 12:29,4/1/2015 15:13,2015-04
