UNIVERSITY,COUNTRY,CITATIONS
University of Debrecen,Hungary,117624
Western Sydney University,Australia,117615
Universiti Putra Malaysia,Malaysia,117533
Norwegian University of Life Sciences,Norway,117380
Universität Bayreuth,Germany,117324
University of Southern Queensland,Australia,117099
Sultan Qaboos University,Oman,116936
Bond University,Australia,116815
ITMO University,Russia,116749
Beijing University of Chemical Technology,China,116629
Institut de Physique du Globe de Paris IPGP (comUE Université Sorbonne Paris Cité),France,115434
École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris ESPCI ParisTech (comUE Université Paris PSL),France,115387
Wake Forest University,United States of America,115181
Hong Kong Baptist University,Hong Kong,115154
College of William & Mary,United States of America,114477
Università degli Studi di Salerno,Italy,114168
(1) Otto Von Guericke Universität Magdeburg,Germany,113824
University of Tehran,Iran,113395
University of Massachusetts Lowell,United States of America,113243
University of New England Australia,Australia,113088
University of Bradford,United Kingdom,112963
(1) Beijing (Northern) Jiaotong University,China,112833
Libera Università di Bolzano,Italy,112725
King Abdulaziz University,Saudi Arabia,112668
(3) University of Maryland Center for Environmental Science,United States of America,112641
Institut d'Optique Graduate School IOGS ParisTech (comUE Université Paris Saclay),France,112582
Université de Nantes (comUE Université Bretagne Loire),France,112386
University of Massachusetts Boston,United States of America,112322
University of Toledo,United States of America,112050
Bowling Green State University,United States of America,111438
Shenzhen University,China,110367
East China Normal University,China,110292
Università degli Studi Gabriele d'Annunzio Chieti e Pescara,Italy,110032
University of Regina,Canada,109829
Università degli Studi di Urbino Carlo Bo,Italy,109766
Universiti Teknologi Malaysia,Malaysia,109458
Kobe University,Japan,108995
(3) Stony Brook Medicine,United States of America,108372
Keio University,Japan,108291
Technische Universität Kaiserslautern,Germany,107972
Auckland University of Technology,New Zealand,107841
University of Szeged,Hungary,107570
University of Ioannina,Greece,107372
University of the West of England,United Kingdom,107253
Banaras Hindu University,India,107038
Universität Duisburg Essen,Germany,106443
Indian Statistical Institute Kolkata,India,106311
Universidad Miguel Hernández,Spain,106230
University of Huddersfield,United Kingdom,106150
University of Limerick,Ireland,105980
Università degli Studi di Catania,Italy,105907
Oakland University,United States of America,105871
Edith Cowan University,Australia,105853
East Carolina University,United States of America,105847
Wesleyan University,United States of America,105139
Universidade Federal de São Carlos,Brazil,104726
Tilburg University,Netherlands,104635
Ajou University,South Korea,104544
Grenoble INP,France,104532
Institut National du Patrimoine INP (comUE HESAM),France,104532
Huazhong (Central China) Agriculture University,China,103938
Johns Hopkins University Applied Physics Laboratory,United States of America,103791
National Taiwan University of Science & Technology,Taiwan,103780
Nara Institute of Science & Technology,Japan,103692
University of Portsmouth,United Kingdom,103687
State University of New York Upstate Medical University,United States of America,103683
Pukyong National University,South Korea,103641
South University of Science and Technology of China,China,103584
Universidade Federal do Ceará,Brazil,103468
North Dakota State University,United States of America,103138
Kanazawa University,Japan,103129
Hiroshima University,Japan,103116
Tokyo University of Science,Japan,102982
Universitat de Girona,Spain,102968
University of Texas Rio Grande Valley,United States of America,102831
Université de Montpellier (comUE Languedoc Roussillon Universités),France,102618
Interdisciplinary Center Herzliya,Israel,102539
China Agricultural University,China,102508
Universidade Federal de Pelotas UFPEL,Brazil,102382
Shinshu University,Japan,101920
Saint Louis University,United States of America,101759
Université de Paris VII,France,101739
Università degli Studi dell'Aquila,Italy,101687
Sogang University,South Korea,101684
Zewail City of Science and Technology,Egypt,101677
Università degli Studi di Cagliari,Italy,101572
University of Montana Missoula,United States of America,101165
Ryerson University,Canada,101037
Augusta University (Georgia Regents University Augusta State University),United States of America,101001
University of Tennessee Chattanooga,United States of America,100707
Clarkson University,United States of America,100657
Jawaharlal Nehru Centre for Advanced Scientific Research,India,100624
Goldsmiths University of London,United Kingdom,100478
Chapman University,United States of America,100452
King Fahd University of Petroleum & Minerals,Saudi Arabia,100240
Nanjing University of Aeronautics & Astronautics,China,100099
Institute for Advanced Study,United States of America,99908
Karl Franzens Universität Graz,Austria,99662
Universitas Gadjah Mada,Indonesia,99254
Victoria University,Australia,99246
Universität des Saarlandes,Germany,98876
Orebro University,Sweden,98420
Wirtschaftsuniversität Wien,Austria,98166
Universidade Federal do Paraná,Brazil,98072
